model,variant,hemisphere,season,b
CNRM-CM6-1-HR,div1_QG,s,AMJ,0.008947076795637644
CNRM-CM6-1-HR,div1_QG,s,MJJ,0.05970500984410321
CNRM-CM6-1-HR,div1_QG,s,JJA,0.07021101890484702
CNRM-CM6-1-HR,div1_QG,s,JAS,0.06647528192890378
CNRM-CM6-1-HR,div1_QG,s,ASO,0.048426695554053434
CNRM-CM6-1-HR,div1_QG,s,SON,0.04998485495950439
CNRM-CM6-1-HR,div1_QG,s,OND,0.05157479206782073
CNRM-CM6-1-HR,div1_QG,s,NDJ,0.05211261608640211
CNRM-CM6-1-HR,div1_QG_123,n,DJF,0.07974322055342925
CNRM-CM6-1-HR,div1_QG_123,n,JFM,0.06158555674254931
CNRM-CM6-1-HR,div1_QG_123,n,FMA,0.05015881937615732
CNRM-CM6-1-HR,div1_QG_123,n,MAM,-0.03123623307636203
CNRM-CM6-1-HR,div1_QG_123,n,AMJ,-0.2611851581336858
